  #KEY  [ui32]  670 (bytes 00 00 02 9e)
  $Adr  [ui32]  768 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  1 (bytes 01)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  3456 (bytes 0d 80)
  ACID  [ch8*]  (bytes 85 ae d7 d8 c0 13 aa 38)
  ACIN  [flag]  (bytes 01)
  ACLM  [ui16]  3456 (bytes 0d 80)
  ACPW  [ui32]  85000 (bytes 00 01 4c 08)
  ACcn  [flag]  (bytes 01)
  ACcs  [ui32]  0 (bytes 00 00 00 00)
  ACct  [ui16]  0 (bytes 00 00)
  ACcv  [flt ]  (bytes 00 00 00 00)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  2250 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  325 (bytes 01 45)
  ADC1  [ui16]  2710 (bytes 0a 96)
  ADC2  [ui16]  96 (bytes 00 60)
  ADC3  [ui16]  679 (bytes 02 a7)
  ADC4  [ui16]  3008 (bytes 0b c0)
  ADC5  [ui16]  1487 (bytes 05 cf)
  ADC6  [ui16]  14 (bytes 00 0e)
  ADC7  [ui16]  14 (bytes 00 0e)
  ADC8  [ui16]  2 (bytes 00 02)
  ADC9  [ui16]  4 (bytes 00 04)
  ADCa  [ui16]  5 (bytes 00 05)
  ADCb  [ui16]  5 (bytes 00 05)
  ADCc  [ui16]  238 (bytes 00 ee)
  ADCd  [ui16]  536 (bytes 02 18)
  ADCe  [ui16]  273 (bytes 01 11)
  ADCf  [ui16]  6 (bytes 00 06)
  ADCg  [ui16]  1739 (bytes 06 cb)
  ADCh  [ui16]  875 (bytes 03 6b)
  ADCi  [ui16]  8 (bytes 00 08)
  ADCj  [ui16]  4 (bytes 00 04)
  ADCk  [ui16]  2311 (bytes 09 07)
  ADCl  [ui16]  1155 (bytes 04 83)
  ADCm  [ui16]  170 (bytes 00 aa)
  ADCn  [ui16]  105 (bytes 00 69)
  ADHc  [flt ]  (bytes 00 00 20 41)
  ADHo  [ui16]  2927 (bytes 0b 6f)
  ADSC  [hex_]  (bytes 73)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  5.480 (bytes 05 7b)
  ALCI  [ui8 ]  147 (bytes 93)
  ALI0  [{ali]  (bytes 06 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
